"Date" "Time" "Global_active_power" "Global_reactive_power" "Voltage" "Global_intensity" "Sub_metering_1" "Sub_metering_2" "Sub_metering_3"
"66655" "1/2/2007" "00:18:00" "0.302" "0.094" "242.190" "1.200" "0.000" "0.000" 0
"66656" "1/2/2007" "00:19:00" "0.300" "0.094" "242.230" "1.200" "0.000" "0.000" 0
"66657" "1/2/2007" "00:20:00" "0.300" "0.094" "242.160" "1.200" "0.000" "0.000" 0
"66658" "1/2/2007" "00:21:00" "0.298" "0.094" "242.290" "1.200" "0.000" "0.000" 0
"66659" "1/2/2007" "00:22:00" "0.298" "0.094" "242.470" "1.200" "0.000" "0.000" 0
"66660" "1/2/2007" "00:23:00" "0.296" "0.094" "242.320" "1.200" "0.000" "0.000" 0
"66661" "1/2/2007" "00:24:00" "0.296" "0.096" "242.980" "1.200" "0.000" "0.000" 0
"66662" "1/2/2007" "00:25:00" "0.298" "0.100" "243.650" "1.200" "0.000" "0.000" 0
"66663" "1/2/2007" "00:26:00" "0.228" "0.000" "243.550" "1.000" "0.000" "0.000" 0
"66664" "1/2/2007" "00:27:00" "0.226" "0.000" "243.110" "1.000" "0.000" "0.000" 0
"66665" "1/2/2007" "00:28:00" "0.226" "0.000" "243.090" "1.000" "0.000" "0.000" 0
"66666" "1/2/2007" "00:29:00" "0.226" "0.000" "243.050" "1.000" "0.000" "0.000" 0
"66667" "1/2/2007" "00:30:00" "0.226" "0.000" "243.220" "1.000" "0.000" "0.000" 0
"66668" "1/2/2007" "00:31:00" "0.226" "0.000" "243.370" "1.000" "0.000" "0.000" 0
"66669" "1/2/2007" "00:32:00" "0.226" "0.000" "243.140" "1.000" "0.000" "0.000" 0
"66670" "1/2/2007" "00:33:00" "0.226" "0.000" "243.120" "1.000" "0.000" "0.000" 0
"66671" "1/2/2007" "00:34:00" "0.322" "0.094" "242.740" "1.400" "0.000" "0.000" 0
"66672" "1/2/2007" "00:35:00" "0.336" "0.126" "242.590" "1.400" "0.000" "0.000" 0
"66673" "1/2/2007" "00:36:00" "0.332" "0.126" "242.910" "1.400" "0.000" "0.000" 0
"66674" "1/2/2007" "00:37:00" "0.332" "0.130" "243.510" "1.400" "0.000" "0.000" 0
"66675" "1/2/2007" "00:38:00" "0.330" "0.130" "243.650" "1.400" "0.000" "0.000" 0
"66676" "1/2/2007" "00:39:00" "0.328" "0.128" "243.370" "1.400" "0.000" "0.000" 0
"66677" "1/2/2007" "00:40:00" "0.328" "0.130" "243.790" "1.400" "0.000" "0.000" 0
"66678" "1/2/2007" "00:41:00" "0.326" "0.128" "243.230" "1.400" "0.000" "0.000" 0
"66679" "1/2/2007" "00:42:00" "0.324" "0.126" "242.980" "1.400" "0.000" "0.000" 0
"66680" "1/2/2007" "00:43:00" "0.322" "0.126" "242.950" "1.400" "0.000" "0.000" 0
"66681" "1/2/2007" "00:44:00" "0.322" "0.124" "242.600" "1.400" "0.000" "0.000" 0
"66682" "1/2/2007" "00:45:00" "0.322" "0.128" "243.330" "1.400" "0.000" "0.000" 0
"66683" "1/2/2007" "00:46:00" "0.318" "0.118" "241.320" "1.400" "0.000" "0.000" 0
"66684" "1/2/2007" "00:47:00" "0.316" "0.116" "240.930" "1.400" "0.000" "0.000" 0
"66685" "1/2/2007" "00:48:00" "0.316" "0.116" "240.930" "1.400" "0.000" "0.000" 0
"66686" "1/2/2007" "00:49:00" "0.274" "0.058" "240.360" "1.200" "0.000" "0.000" 0
"66687" "1/2/2007" "00:50:00" "0.222" "0.000" "240.930" "1.000" "0.000" "0.000" 0
"66688" "1/2/2007" "00:51:00" "0.222" "0.000" "240.830" "1.000" "0.000" "0.000" 0
"66689" "1/2/2007" "00:52:00" "0.222" "0.000" "240.520" "1.000" "0.000" "0.000" 0
"66690" "1/2/2007" "00:53:00" "0.224" "0.000" "241.450" "1.000" "0.000" "0.000" 0
"66691" "1/2/2007" "00:54:00" "0.224" "0.000" "241.590" "1.000" "0.000" "0.000" 0
"66692" "1/2/2007" "00:55:00" "0.226" "0.000" "242.550" "1.000" "0.000" "0.000" 0
"66693" "1/2/2007" "00:56:00" "0.226" "0.000" "242.880" "1.000" "0.000" "0.000" 0
"66694" "1/2/2007" "00:57:00" "0.226" "0.000" "242.630" "1.000" "0.000" "0.000" 0
"66695" "1/2/2007" "00:58:00" "0.224" "0.000" "242.200" "1.000" "0.000" "0.000" 0
"66696" "1/2/2007" "00:59:00" "0.224" "0.000" "241.840" "1.000" "0.000" "0.000" 0
"66697" "1/2/2007" "01:00:00" "0.222" "0.000" "240.890" "1.000" "0.000" "0.000" 0
"66698" "1/2/2007" "01:01:00" "0.222" "0.000" "240.860" "1.000" "0.000" "0.000" 0
"66699" "1/2/2007" "01:02:00" "0.260" "0.000" "240.640" "1.200" "0.000" "0.000" 0
"66700" "1/2/2007" "01:03:00" "0.298" "0.088" "240.720" "1.200" "0.000" "0.000" 0
"66701" "1/2/2007" "01:04:00" "0.302" "0.094" "242.180" "1.200" "0.000" "0.000" 0
"66702" "1/2/2007" "01:05:00" "0.302" "0.096" "242.660" "1.200" "0.000" "0.000" 0
"66703" "1/2/2007" "01:06:00" "0.302" "0.096" "242.770" "1.200" "0.000" "0.000" 0
"66704" "1/2/2007" "01:07:00" "0.300" "0.096" "242.600" "1.200" "0.000" "0.000" 0
"66705" "1/2/2007" "01:08:00" "0.298" "0.094" "242.380" "1.200" "0.000" "0.000" 0
"66706" "1/2/2007" "01:09:00" "0.298" "0.094" "242.210" "1.200" "0.000" "0.000" 0
"66707" "1/2/2007" "01:10:00" "0.296" "0.096" "242.610" "1.200" "0.000" "0.000" 0
"66708" "1/2/2007" "01:11:00" "0.296" "0.094" "242.240" "1.200" "0.000" "0.000" 0
"66709" "1/2/2007" "01:12:00" "0.258" "0.000" "242.660" "1.000" "0.000" "0.000" 0
"66710" "1/2/2007" "01:13:00" "0.226" "0.000" "242.990" "1.000" "0.000" "0.000" 0
"66711" "1/2/2007" "01:14:00" "0.228" "0.000" "243.530" "1.000" "0.000" "0.000" 0
"66712" "1/2/2007" "01:15:00" "0.316" "0.088" "243.120" "1.400" "0.000" "0.000" 0
"66713" "1/2/2007" "01:16:00" "0.434" "0.252" "242.830" "2.200" "0.000" "0.000" 0
"66714" "1/2/2007" "01:17:00" "0.418" "0.254" "243.080" "2.000" "0.000" "2.000" 0
"66715" "1/2/2007" "01:18:00" "0.414" "0.254" "243.350" "2.000" "0.000" "1.000" 0
"66716" "1/2/2007" "01:19:00" "0.412" "0.252" "242.710" "2.000" "0.000" "1.000" 0
"66717" "1/2/2007" "01:20:00" "0.410" "0.246" "241.630" "2.000" "0.000" "2.000" 0
"66718" "1/2/2007" "01:21:00" "0.408" "0.246" "241.860" "2.000" "0.000" "1.000" 0
"66719" "1/2/2007" "01:22:00" "0.408" "0.248" "242.170" "2.000" "0.000" "2.000" 0
"66720" "1/2/2007" "01:23:00" "0.404" "0.244" "241.700" "2.000" "0.000" "1.000" 0
"66721" "1/2/2007" "01:24:00" "0.402" "0.242" "241.140" "1.800" "0.000" "1.000" 0
"66722" "1/2/2007" "01:25:00" "0.402" "0.244" "241.410" "1.800" "0.000" "2.000" 0
"66723" "1/2/2007" "01:26:00" "0.402" "0.246" "241.950" "1.800" "0.000" "1.000" 0
"66724" "1/2/2007" "01:27:00" "0.402" "0.248" "242.360" "1.800" "0.000" "2.000" 0
"66725" "1/2/2007" "01:28:00" "0.402" "0.250" "242.600" "1.800" "0.000" "1.000" 0
"66726" "1/2/2007" "01:29:00" "0.398" "0.246" "242.110" "1.800" "0.000" "1.000" 0
"66727" "1/2/2007" "01:30:00" "0.336" "0.156" "241.880" "1.600" "0.000" "2.000" 0
"66728" "1/2/2007" "01:31:00" "0.300" "0.104" "240.780" "1.200" "0.000" "1.000" 0
"66729" "1/2/2007" "01:32:00" "0.300" "0.104" "240.680" "1.200" "0.000" "1.000" 0
"66730" "1/2/2007" "01:33:00" "0.300" "0.106" "240.870" "1.200" "0.000" "2.000" 0
"66731" "1/2/2007" "01:34:00" "0.298" "0.106" "241.000" "1.200" "0.000" "1.000" 0
"66732" "1/2/2007" "01:35:00" "0.298" "0.106" "240.970" "1.200" "0.000" "1.000" 0
"66733" "1/2/2007" "01:36:00" "0.298" "0.106" "241.090" "1.200" "0.000" "1.000" 0
"66734" "1/2/2007" "01:37:00" "0.298" "0.106" "241.100" "1.200" "0.000" "2.000" 0
"66735" "1/2/2007" "01:38:00" "0.298" "0.106" "241.210" "1.200" "0.000" "1.000" 0
"66736" "1/2/2007" "01:39:00" "0.296" "0.106" "241.270" "1.200" "0.000" "1.000" 0
"66737" "1/2/2007" "01:40:00" "0.296" "0.108" "241.400" "1.200" "0.000" "1.000" 0
"66738" "1/2/2007" "01:41:00" "0.296" "0.108" "241.610" "1.200" "0.000" "1.000" 0
"66739" "1/2/2007" "01:42:00" "0.296" "0.106" "241.370" "1.200" "0.000" "2.000" 0
"66740" "1/2/2007" "01:43:00" "0.294" "0.106" "240.990" "1.200" "0.000" "1.000" 0
"66741" "1/2/2007" "01:44:00" "0.294" "0.106" "241.270" "1.200" "0.000" "1.000" 0
"66742" "1/2/2007" "01:45:00" "0.242" "0.000" "241.260" "1.000" "0.000" "0.000" 0
"66743" "1/2/2007" "01:46:00" "0.224" "0.000" "241.760" "1.000" "0.000" "0.000" 0
"66744" "1/2/2007" "01:47:00" "0.224" "0.000" "242.380" "1.000" "0.000" "0.000" 0
"66745" "1/2/2007" "01:48:00" "0.224" "0.000" "242.150" "1.000" "0.000" "0.000" 0
"66746" "1/2/2007" "01:49:00" "0.288" "0.050" "241.690" "1.400" "0.000" "0.000" 0
"66747" "1/2/2007" "01:50:00" "0.298" "0.088" "241.020" "1.200" "0.000" "0.000" 0
"66748" "1/2/2007" "01:51:00" "0.298" "0.088" "240.750" "1.200" "0.000" "0.000" 0
"66749" "1/2/2007" "01:52:00" "0.298" "0.088" "241.060" "1.200" "0.000" "0.000" 0
"66750" "1/2/2007" "01:53:00" "0.300" "0.090" "241.570" "1.200" "0.000" "0.000" 0
"66751" "1/2/2007" "01:54:00" "0.300" "0.094" "242.290" "1.200" "0.000" "0.000" 0
"66752" "1/2/2007" "01:55:00" "0.300" "0.096" "242.770" "1.200" "0.000" "0.000" 0
"66753" "1/2/2007" "01:56:00" "0.386" "0.190" "242.480" "1.800" "0.000" "0.000" 0
"66754" "1/2/2007" "01:57:00" "0.406" "0.228" "242.240" "1.800" "0.000" "0.000" 0
"66755" "1/2/2007" "01:58:00" "0.398" "0.222" "242.110" "1.800" "0.000" "0.000" 0
"66756" "1/2/2007" "01:59:00" "0.326" "0.116" "240.550" "1.400" "0.000" "0.000" 0
"66757" "1/2/2007" "02:00:00" "0.324" "0.116" "240.330" "1.400" "0.000" "0.000" 0
"66758" "1/2/2007" "02:01:00" "0.328" "0.126" "242.570" "1.400" "0.000" "0.000" 0
"66759" "1/2/2007" "02:02:00" "0.328" "0.130" "243.120" "1.400" "0.000" "0.000" 0
"66760" "1/2/2007" "02:03:00" "0.326" "0.128" "243.050" "1.400" "0.000" "0.000" 0
"66761" "1/2/2007" "02:04:00" "0.324" "0.128" "243.090" "1.400" "0.000" "0.000" 0
"66762" "1/2/2007" "02:05:00" "0.322" "0.124" "242.070" "1.400" "0.000" "0.000" 0
"66763" "1/2/2007" "02:06:00" "0.322" "0.124" "242.210" "1.400" "0.000" "0.000" 0
"66764" "1/2/2007" "02:07:00" "0.322" "0.126" "242.470" "1.400" "0.000" "0.000" 0
"66765" "1/2/2007" "02:08:00" "0.322" "0.126" "242.570" "1.400" "0.000" "0.000" 0
"66766" "1/2/2007" "02:09:00" "0.322" "0.128" "243.080" "1.400" "0.000" "0.000" 0
"66767" "1/2/2007" "02:10:00" "0.322" "0.130" "243.280" "1.400" "0.000" "0.000" 0
"66768" "1/2/2007" "02:11:00" "0.242" "0.000" "243.520" "1.000" "0.000" "0.000" 0
"66769" "1/2/2007" "02:12:00" "0.228" "0.000" "244.090" "1.000" "0.000" "0.000" 0
"66770" "1/2/2007" "02:13:00" "0.228" "0.000" "244.020" "1.000" "0.000" "0.000" 0
"66771" "1/2/2007" "02:14:00" "0.228" "0.000" "244.020" "1.000" "0.000" "0.000" 0
"66772" "1/2/2007" "02:15:00" "0.226" "0.000" "243.250" "1.000" "0.000" "0.000" 0
"66773" "1/2/2007" "02:16:00" "0.226" "0.000" "243.060" "1.000" "0.000" "0.000" 0
"66774" "1/2/2007" "02:17:00" "0.228" "0.000" "243.380" "1.000" "0.000" "0.000" 0
"66775" "1/2/2007" "02:18:00" "0.228" "0.000" "243.910" "1.000" "0.000" "0.000" 0
"66776" "1/2/2007" "02:19:00" "0.228" "0.000" "243.930" "1.000" "0.000" "0.000" 0
"66777" "1/2/2007" "02:20:00" "0.228" "0.000" "243.550" "1.000" "0.000" "0.000" 0
"66778" "1/2/2007" "02:21:00" "0.228" "0.000" "243.450" "1.000" "0.000" "0.000" 0
"66779" "1/2/2007" "02:22:00" "0.226" "0.000" "242.420" "1.000" "0.000" "0.000" 0
"66780" "1/2/2007" "02:23:00" "0.226" "0.000" "243.140" "1.000" "0.000" "0.000" 0
"66781" "1/2/2007" "02:24:00" "0.228" "0.000" "243.370" "1.000" "0.000" "0.000" 0
"66782" "1/2/2007" "02:25:00" "0.228" "0.000" "243.530" "1.000" "0.000" "0.000" 0
"66783" "1/2/2007" "02:26:00" "0.226" "0.000" "243.220" "1.000" "0.000" "0.000" 0
"66784" "1/2/2007" "02:27:00" "0.228" "0.000" "243.570" "1.000" "0.000" "0.000" 0
"66785" "1/2/2007" "02:28:00" "0.228" "0.000" "243.760" "1.000" "0.000" "0.000" 0
"66786" "1/2/2007" "02:29:00" "0.226" "0.000" "243.360" "1.000" "0.000" "0.000" 0
"66787" "1/2/2007" "02:30:00" "0.226" "0.000" "243.170" "1.000" "0.000" "0.000" 0
"66788" "1/2/2007" "02:31:00" "0.228" "0.000" "243.580" "1.000" "0.000" "0.000" 0
"66789" "1/2/2007" "02:32:00" "0.228" "0.000" "244.100" "1.000" "0.000" "0.000" 0
"66790" "1/2/2007" "02:33:00" "0.230" "0.000" "244.550" "1.000" "0.000" "0.000" 0
"66791" "1/2/2007" "02:34:00" "0.230" "0.000" "244.980" "1.000" "0.000" "0.000" 0
"66792" "1/2/2007" "02:35:00" "0.228" "0.000" "244.360" "1.000" "0.000" "0.000" 0
"66793" "1/2/2007" "02:36:00" "0.292" "0.060" "244.420" "1.400" "0.000" "0.000" 0
"66794" "1/2/2007" "02:37:00" "0.388" "0.190" "243.850" "1.800" "0.000" "0.000" 0
"66795" "1/2/2007" "02:38:00" "0.416" "0.238" "243.830" "2.000" "0.000" "0.000" 0
"66796" "1/2/2007" "02:39:00" "0.416" "0.244" "243.730" "2.000" "0.000" "0.000" 0
"66797" "1/2/2007" "02:40:00" "0.436" "0.276" "244.660" "2.000" "0.000" "0.000" 0
"66798" "1/2/2007" "02:41:00" "0.436" "0.280" "245.020" "2.000" "0.000" "0.000" 0
"66799" "1/2/2007" "02:42:00" "0.432" "0.280" "245.060" "2.000" "0.000" "0.000" 0
"66800" "1/2/2007" "02:43:00" "0.426" "0.272" "244.040" "2.000" "0.000" "0.000" 0
"66801" "1/2/2007" "02:44:00" "0.424" "0.270" "243.580" "2.000" "0.000" "0.000" 0
"66802" "1/2/2007" "02:45:00" "0.420" "0.268" "243.420" "2.000" "0.000" "0.000" 0
"66803" "1/2/2007" "02:46:00" "0.350" "0.160" "243.190" "1.600" "0.000" "0.000" 0
"66804" "1/2/2007" "02:47:00" "0.350" "0.164" "243.900" "1.600" "0.000" "0.000" 0
"66805" "1/2/2007" "02:48:00" "0.348" "0.162" "243.600" "1.600" "0.000" "0.000" 0
"66806" "1/2/2007" "02:49:00" "0.346" "0.160" "243.040" "1.600" "0.000" "0.000" 0
"66807" "1/2/2007" "02:50:00" "0.346" "0.162" "243.440" "1.600" "0.000" "0.000" 0
"66808" "1/2/2007" "02:51:00" "0.346" "0.162" "243.350" "1.600" "0.000" "0.000" 0
"66809" "1/2/2007" "02:52:00" "0.256" "0.000" "243.340" "1.000" "0.000" "0.000" 0
"66810" "1/2/2007" "02:53:00" "0.252" "0.000" "243.210" "1.000" "0.000" "0.000" 0
"66811" "1/2/2007" "02:54:00" "0.252" "0.000" "242.960" "1.000" "0.000" "0.000" 0
"66812" "1/2/2007" "02:55:00" "0.252" "0.000" "243.330" "1.000" "0.000" "0.000" 0
"66813" "1/2/2007" "02:56:00" "0.252" "0.000" "243.160" "1.000" "0.000" "0.000" 0
"66814" "1/2/2007" "02:57:00" "0.250" "0.000" "242.770" "1.000" "0.000" "0.000" 0
"66815" "1/2/2007" "02:58:00" "0.252" "0.000" "243.360" "1.000" "0.000" "0.000" 0
"66816" "1/2/2007" "02:59:00" "0.252" "0.000" "243.380" "1.000" "0.000" "0.000" 0
"66817" "1/2/2007" "03:00:00" "0.252" "0.000" "243.500" "1.000" "0.000" "0.000" 0
"66818" "1/2/2007" "03:01:00" "0.252" "0.000" "243.570" "1.000" "0.000" "0.000" 0
"66819" "1/2/2007" "03:02:00" "0.254" "0.000" "244.240" "1.000" "0.000" "0.000" 0
"66820" "1/2/2007" "03:03:00" "0.254" "0.000" "244.220" "1.000" "0.000" "0.000" 0
"66821" "1/2/2007" "03:04:00" "0.254" "0.000" "243.990" "1.000" "0.000" "0.000" 0
"66822" "1/2/2007" "03:05:00" "0.252" "0.000" "243.440" "1.000" "0.000" "0.000" 0
"66823" "1/2/2007" "03:06:00" "0.252" "0.000" "243.400" "1.000" "0.000" "0.000" 0
"66824" "1/2/2007" "03:07:00" "0.252" "0.000" "243.490" "1.000" "0.000" "0.000" 0
"66825" "1/2/2007" "03:08:00" "0.252" "0.000" "243.550" "1.000" "0.000" "0.000" 0
"66826" "1/2/2007" "03:09:00" "0.252" "0.000" "243.190" "1.000" "0.000" "0.000" 0
"66827" "1/2/2007" "03:10:00" "0.254" "0.000" "243.740" "1.000" "0.000" "0.000" 0
"66828" "1/2/2007" "03:11:00" "0.254" "0.000" "244.110" "1.000" "0.000" "0.000" 0
"66829" "1/2/2007" "03:12:00" "0.250" "0.000" "242.840" "1.000" "0.000" "0.000" 0
"66830" "1/2/2007" "03:13:00" "0.250" "0.000" "242.810" "1.000" "0.000" "0.000" 0
"66831" "1/2/2007" "03:14:00" "0.250" "0.000" "242.480" "1.000" "0.000" "0.000" 0
"66832" "1/2/2007" "03:15:00" "0.250" "0.000" "242.500" "1.000" "0.000" "0.000" 0
"66833" "1/2/2007" "03:16:00" "0.250" "0.000" "242.760" "1.000" "0.000" "0.000" 0
"66834" "1/2/2007" "03:17:00" "0.250" "0.000" "242.920" "1.000" "0.000" "0.000" 0
"66835" "1/2/2007" "03:18:00" "0.368" "0.150" "242.490" "1.600" "0.000" "0.000" 0
"66836" "1/2/2007" "03:19:00" "0.360" "0.158" "242.860" "1.600" "0.000" "0.000" 0
"66837" "1/2/2007" "03:20:00" "0.358" "0.162" "243.330" "1.600" "0.000" "0.000" 0
"66838" "1/2/2007" "03:21:00" "0.358" "0.162" "243.530" "1.600" "0.000" "0.000" 0
"66839" "1/2/2007" "03:22:00" "0.356" "0.162" "243.440" "1.600" "0.000" "0.000" 0
"66840" "1/2/2007" "03:23:00" "0.386" "0.184" "243.530" "1.800" "0.000" "0.000" 0
"66841" "1/2/2007" "03:24:00" "0.406" "0.234" "243.000" "1.800" "0.000" "0.000" 0
"66842" "1/2/2007" "03:25:00" "0.404" "0.238" "243.800" "1.800" "0.000" "0.000" 0
"66843" "1/2/2007" "03:26:00" "0.402" "0.236" "243.500" "1.800" "0.000" "0.000" 0
"66844" "1/2/2007" "03:27:00" "0.400" "0.234" "243.130" "1.800" "0.000" "0.000" 0
"66845" "1/2/2007" "03:28:00" "0.400" "0.234" "243.340" "1.800" "0.000" "0.000" 0
"66846" "1/2/2007" "03:29:00" "0.398" "0.236" "243.510" "1.800" "0.000" "0.000" 0
"66847" "1/2/2007" "03:30:00" "0.396" "0.238" "243.860" "1.800" "0.000" "0.000" 0
"66848" "1/2/2007" "03:31:00" "0.392" "0.234" "243.030" "1.800" "0.000" "0.000" 0
"66849" "1/2/2007" "03:32:00" "0.346" "0.166" "242.990" "1.600" "0.000" "0.000" 0
"66850" "1/2/2007" "03:33:00" "0.258" "0.000" "243.120" "1.000" "0.000" "0.000" 0
"66851" "1/2/2007" "03:34:00" "0.224" "0.000" "242.060" "1.000" "0.000" "0.000" 0
"66852" "1/2/2007" "03:35:00" "0.224" "0.000" "241.770" "1.000" "0.000" "0.000" 0
"66853" "1/2/2007" "03:36:00" "0.226" "0.000" "242.340" "1.000" "0.000" "0.000" 0
"66854" "1/2/2007" "03:37:00" "0.228" "0.000" "243.260" "1.000" "0.000" "0.000" 0
"66855" "1/2/2007" "03:38:00" "0.228" "0.000" "243.710" "1.000" "0.000" "0.000" 0
"66856" "1/2/2007" "03:39:00" "0.230" "0.000" "244.830" "1.000" "0.000" "0.000" 0
"66857" "1/2/2007" "03:40:00" "0.230" "0.000" "244.690" "1.000" "0.000" "0.000" 0
"66858" "1/2/2007" "03:41:00" "0.230" "0.000" "244.550" "1.000" "0.000" "0.000" 0
"66859" "1/2/2007" "03:42:00" "0.230" "0.000" "244.380" "1.000" "0.000" "0.000" 0
"66860" "1/2/2007" "03:43:00" "0.230" "0.000" "244.400" "1.000" "0.000" "0.000" 0
"66861" "1/2/2007" "03:44:00" "0.228" "0.000" "244.160" "1.000" "0.000" "0.000" 0
"66862" "1/2/2007" "03:45:00" "0.268" "0.000" "244.210" "1.400" "0.000" "0.000" 0
"66863" "1/2/2007" "03:46:00" "0.312" "0.120" "244.130" "1.400" "0.000" "1.000" 0
"66864" "1/2/2007" "03:47:00" "0.312" "0.120" "244.220" "1.400" "0.000" "1.000" 0
"66865" "1/2/2007" "03:48:00" "0.312" "0.118" "243.960" "1.400" "0.000" "2.000" 0
"66866" "1/2/2007" "03:49:00" "0.312" "0.116" "243.480" "1.400" "0.000" "1.000" 0
"66867" "1/2/2007" "03:50:00" "0.312" "0.118" "243.840" "1.400" "0.000" "2.000" 0
"66868" "1/2/2007" "03:51:00" "0.314" "0.120" "243.920" "1.400" "0.000" "1.000" 0
"66869" "1/2/2007" "03:52:00" "0.314" "0.122" "244.500" "1.400" "0.000" "1.000" 0
"66870" "1/2/2007" "03:53:00" "0.314" "0.122" "244.600" "1.400" "0.000" "2.000" 0
"66871" "1/2/2007" "03:54:00" "0.314" "0.122" "244.560" "1.400" "0.000" "1.000" 0
"66872" "1/2/2007" "03:55:00" "0.312" "0.120" "243.910" "1.400" "0.000" "2.000" 0
"66873" "1/2/2007" "03:56:00" "0.310" "0.116" "243.550" "1.400" "0.000" "1.000" 0
"66874" "1/2/2007" "03:57:00" "0.310" "0.116" "243.580" "1.400" "0.000" "1.000" 0
"66875" "1/2/2007" "03:58:00" "0.308" "0.112" "242.740" "1.400" "0.000" "2.000" 0
"66876" "1/2/2007" "03:59:00" "0.412" "0.228" "242.720" "2.000" "0.000" "1.000" 0
"66877" "1/2/2007" "04:00:00" "0.416" "0.250" "242.710" "2.000" "0.000" "1.000" 0
"66878" "1/2/2007" "04:01:00" "0.410" "0.248" "242.320" "2.000" "0.000" "2.000" 0
"66879" "1/2/2007" "04:02:00" "0.408" "0.248" "242.360" "2.000" "0.000" "1.000" 0
"66880" "1/2/2007" "04:03:00" "0.406" "0.246" "242.120" "2.000" "0.000" "1.000" 0
"66881" "1/2/2007" "04:04:00" "0.404" "0.248" "242.180" "2.000" "0.000" "2.000" 0
"66882" "1/2/2007" "04:05:00" "0.402" "0.248" "242.220" "1.800" "0.000" "1.000" 0
"66883" "1/2/2007" "04:06:00" "0.400" "0.246" "241.980" "1.800" "0.000" "1.000" 0
"66884" "1/2/2007" "04:07:00" "0.398" "0.246" "242.090" "1.800" "0.000" "1.000" 0
"66885" "1/2/2007" "04:08:00" "0.396" "0.246" "241.920" "1.800" "0.000" "1.000" 0
"66886" "1/2/2007" "04:09:00" "0.396" "0.250" "242.610" "1.800" "0.000" "2.000" 0
"66887" "1/2/2007" "04:10:00" "0.396" "0.252" "242.990" "1.800" "0.000" "1.000" 0
"66888" "1/2/2007" "04:11:00" "0.432" "0.280" "243.060" "2.200" "0.000" "1.000" 0
"66889" "1/2/2007" "04:12:00" "0.470" "0.358" "242.940" "2.400" "0.000" "1.000" 0
"66890" "1/2/2007" "04:13:00" "0.428" "0.296" "243.070" "2.200" "0.000" "2.000" 0
"66891" "1/2/2007" "04:14:00" "0.348" "0.170" "242.850" "1.600" "0.000" "0.000" 0
"66892" "1/2/2007" "04:15:00" "0.304" "0.094" "242.730" "1.200" "0.000" "0.000" 0
"66893" "1/2/2007" "04:16:00" "0.302" "0.094" "242.650" "1.200" "0.000" "0.000" 0
"66894" "1/2/2007" "04:17:00" "0.302" "0.096" "243.080" "1.200" "0.000" "0.000" 0
"66895" "1/2/2007" "04:18:00" "0.300" "0.100" "243.600" "1.200" "0.000" "0.000" 0
"66896" "1/2/2007" "04:19:00" "0.298" "0.096" "243.050" "1.200" "0.000" "0.000" 0
"66897" "1/2/2007" "04:20:00" "0.292" "0.086" "243.380" "1.200" "0.000" "0.000" 0
"66898" "1/2/2007" "04:21:00" "0.228" "0.000" "243.820" "1.000" "0.000" "0.000" 0
"66899" "1/2/2007" "04:22:00" "0.228" "0.000" "243.730" "1.000" "0.000" "0.000" 0
"66900" "1/2/2007" "04:23:00" "0.230" "0.000" "244.260" "1.000" "0.000" "0.000" 0
"66901" "1/2/2007" "04:24:00" "0.230" "0.000" "244.980" "1.000" "0.000" "0.000" 0
"66902" "1/2/2007" "04:25:00" "0.230" "0.000" "244.950" "1.000" "0.000" "0.000" 0
